# Time(s) Range(km)  Vel.(km/s)
 416.880 705.913524 -0.171405
 418.003 705.769570 -0.091042
 419.126 705.713801 -0.010639
 420.163 705.746250 0.069767
 421.286 705.866901 0.150145
 422.410 706.075716 0.230469
 423.446 706.372615 0.310706
 424.570 706.757469 0.390824
 425.693 707.230164 0.470799
 426.730 707.790488 0.550595
 427.853 708.438247 0.630186
 428.976 709.173231 0.709547
 430.099 709.995113 0.788643
 431.136 710.903650 0.867452
 432.259 711.898483 0.945944
 433.382 712.979206 1.024089
 434.419 714.145507 1.101867
 435.542 715.396833 1.179244
 436.666 716.732922 1.256207
 437.702 718.153208 1.332725
 438.826 719.657135 1.408772
 439.949 721.244289 1.484332
 441.072 722.914064 1.559380
 442.109 724.665823 1.633892
 443.232 726.499097 1.707854
 444.355 728.413206 1.781243
 445.392 730.407363 1.854037
 446.515 732.481203 1.926227
 447.638 734.633826 1.997790
 448.675 736.864695 2.068715
 449.798 739.173022 2.138985
 450.922 741.557991 2.208584
 452.045 744.019037 2.277503
 453.082 746.555224 2.345726
 454.205 749.165873 2.413243
 455.328 751.850305 2.480048
 456.365 754.607533 2.546125
 457.488 757.436959 2.611472
 458.611 760.337674 2.676077
 459.648 763.308753 2.739933
 460.771 766.349588 2.803037
 461.894 769.459243 2.865383
 463.018 772.636646 2.926960
 464.054 775.881424 2.987775
 465.178 779.192504 3.047819
 466.301 782.568913 3.107090
 467.338 786.010052 3.165588
 468.461 789.514818 3.223310
 469.584 793.082619 3.280260
 470.621 796.712343 3.336432
 471.744 800.403271 3.391831
 472.867 804.154693 3.446461
 473.990 807.965629 3.500320
 475.027 811.835093 3.553410
 476.150 815.762528 3.605737
 477.274 819.746810 3.657302
 478.310 823.787399 3.708113
 479.434 827.883321 3.758171
 480.557 832.033448 3.807477
 481.594 836.237571 3.856046
 482.717 840.494576 3.903877
 483.840 844.803498 3.950975
 484.877 849.163856 3.997351
 486.000 853.574537 4.043006
 487.123 858.035081 4.087951
 488.246 862.544383 4.132189
 489.283 867.101836 4.175730
 490.406 871.706849 4.218582
 491.530 876.358502 4.260751
 492.566 881.055876 4.302243
 493.690 885.798580 4.343069
 494.813 890.585714 4.383236
 495.850 895.416382 4.422750
 496.973 900.290226 4.461622
 498.096 905.206008 4.499856
 499.219 910.163756 4.537466
